arquivo,linhas,cnpj_nulo_ou_vazio,cnpj_tamanho_invalido,cnpj_checksum_invalido_preservado
AC.parquet,933732,0,0,37
AL.parquet,68747,0,0,0
AM.parquet,55560,0,0,0
AP.parquet,104589,0,0,0
BA.parquet,46241,0,0,0
CE.parquet,4781,0,0,0
DF.parquet,36678,0,0,0
ES.parquet,127367,0,0,461
GO.parquet,16364,0,0,0
MA.parquet,1823,0,0,0
MG.parquet,6468325,0,0,0
MS.parquet,4324,0,0,0
MT.parquet,13598069,0,0,0
PA.parquet,691311,0,0,0
PB.parquet,1782928,0,0,5452
PE.parquet,661,0,0,0
PI.parquet,297470,0,0,0
PR.parquet,2466867,0,0,25
RJ.parquet,49668,0,0,0
RN.parquet,422,0,0,0
RO.parquet,17310,0,0,0
RR.parquet,353,0,0,0
RS.parquet,597203,0,0,0
SC.parquet,5365,0,0,0
SE.parquet,186820,0,0,0
SP.parquet,3823266,0,0,261
TO.parquet,791,0,0,0
